id,name,state,street code1,street code2,course code
1,Binod Suman,IN,999,777,888
2,Bill Gates,US,789,0,897
3,Steve Jobs,US,898,989,987
4,Sunder Pachai,US,0,0,0
5,Nandan Nilekani,IN,898,985,876
6,Narayn Murthy,IN,879,898,0
7,JEFF Bezos,US,898,898,985
8,Satya Nadella,IN,0,897,879
9,Jamie Dimon,UK,785,987,986
10,Warren Buffett,UK,789,765,897
11,Tim Cook,US,786,898,788
12,Shantanu Narayen,SA,987,0,0
13,Mark Zuckerberg,SA,675,787,0
14,Allen Iger,UN,234,567,678
15,Larry Page,UN ,789,897,873
16,Mark Parker,ZE,785,879,657
17,Mukesh Ambani,IN,0,0,0
18,Indra Nooyi,ZE,787,908,0
19,Debra Cafaro,US,784,657,894
20,Nikesh Arora,PR,456,567,678
21,Lakshmi Mittal,PR,679,674,785
22,Sunil Mittal,IN,0,896,0
23,Anand Mahidra,PR,456,567,345
24,Uday Kotak,IN,675,768,566
25,Azim Premji,US,676,0,678